Complaint Datetime,Case Number,Signal Suffix,CAD Signal Code Description,Grid Code,Address String,Latitude,Longitude,City,State,year,month,yearmonth
3/1/2012 21:19,PD120301082166,14,CONDUCT INVESTIGATION,862,2333 NW 64TH ST,25.83349608,-80.23603505,Miami Dade County,FL,2012,3,147
3/2/2012 19:28,PD120302083498,14,CONDUCT INVESTIGATION,918,2505 NW 61ST ST,25.83052607,-80.23925998,Miami Dade County,FL,2012,3,147
3/3/2012 21:20,PD120303084889,14,CONDUCT INVESTIGATION,862,2568 NW 65TH ST,25.83352315,-80.2398952,Miami Dade County,FL,2012,3,147
3/4/2012 18:02,PD120304086058,14,CONDUCT INVESTIGATION,863,2167 NW 64TH ST,25.83358124,-80.23281288,Miami Dade County,FL,2012,3,147
3/4/2012 19:57,PD120304086208,14,CONDUCT INVESTIGATION,863,6947 NW 21ST AVE,25.83786525,-80.23117276,Miami Dade County,FL,2012,3,147
3/4/2012 21:13,PD120304086267,14,CONDUCT INVESTIGATION,917,3036 NW 56TH ST,25.82555932,-80.24568379,Miami Dade County,FL,2012,3,147
3/11/2012 21:04,PD120311095869,14,CONDUCT INVESTIGATION,966,3027 NW 50TH ST,25.8202978,-80.24537356,Miami Dade County,FL,2012,3,147
3/14/2012 19:26,PD120314100063,14,CONDUCT INVESTIGATION,967,5181 NW 27TH AVE,25.82130263,-80.24011148,Miami Dade County,FL,2012,3,147
3/14/2012 20:47,PD120314100218,14,CONDUCT INVESTIGATION,862,2485 NW 65TH ST,25.83390571,-80.23889075,Miami Dade County,FL,2012,3,147
3/16/2012 22:55,PD120316103116,14,CONDUCT INVESTIGATION,917,NW 27TH AVE & NW 61ST ST,25.83032138,-80.24107441,Miami Dade County,FL,2012,3,147
3/17/2012 20:46,PD120317104363,14,CONDUCT INVESTIGATION,863,1887 NW 64TH ST,25.83350282,-80.2287162,Miami Dade County,FL,2012,3,147
3/17/2012 22:17,PD120317104463,14,CONDUCT INVESTIGATION,917,3071 NW 54TH ST,25.82406371,-80.24625005,Miami Dade County,FL,2012,3,147
3/18/2012 0:25, ,14,CONDUCT INVESTIGATION,3968,1852 NW 49TH ST,25.81973078,-80.22751942,Miami Dade County,FL,2012,3,147
3/28/2012 20:14,PD120328119319,14,CONDUCT INVESTIGATION,863,2030 NW 68TH TER,25.83634598,-80.23070718,Miami Dade County,FL,2012,3,147
3/29/2012 9:26,PD120329119786,14,CONDUCT INVESTIGATION,799,NW 79TH ST & NW 9TH AVE,25.84694841,-80.21221034,Miami Dade County,FL,2012,3,147
3/29/2012 23:23,PD120329120857,14,CONDUCT INVESTIGATION,862,2600 NW 64TH ST,25.83275765,-80.2398479,Miami Dade County,FL,2012,3,147
3/30/2012 18:13,PD120330121915,14,CONDUCT INVESTIGATION,967,2270 NW 51ST ST,25.82095101,-80.2341222,Miami Dade County,FL,2012,3,147
3/31/2012 18:40,PD120331123335,14,CONDUCT INVESTIGATION,918,5819 NW 27TH AVE,25.82775244,-80.24091064,Miami Dade County,FL,2012,3,147
3/31/2012 19:54,PD120331123422,14,CONDUCT INVESTIGATION,1021,2123 NW 44TH ST,25.81559582,-80.23076985,Miami Dade County,FL,2012,3,147
4/1/2012 19:19,PD120401124641,14,CONDUCT INVESTIGATION,917,2771 NW 58TH ST,25.82784233,-80.24247209,Miami Dade County,FL,2012,4,148
4/5/2012 20:59,PD120405130429,14,CONDUCT INVESTIGATION,863,1723 NW 62ND TER,25.83242857,-80.22545644,Miami Dade County,FL,2012,4,148
4/5/2012 21:03,PD120405130433,14,CONDUCT INVESTIGATION,863,NW 19TH AVE & NW 63RD ST,25.8328266,-80.22895403,Miami Dade County,FL,2012,4,148
4/6/2012 19:24,PD120406131692,14,CONDUCT INVESTIGATION,966,5018 NW 31ST AVE,25.82045716,-80.24699069,Miami Dade County,FL,2012,4,148
4/8/2012 20:32,PD120408134417,14,CONDUCT INVESTIGATION,967,2541 NW 47TH ST,25.81745678,-80.23927734,Miami Dade County,FL,2012,4,148
4/11/2012 21:58,PD120411138652,14,CONDUCT INVESTIGATION,1018,2772 NW 42ND ST,25.81337955,-80.24194323,Miami Dade County,FL,2012,4,148
4/11/2012 22:07,PD120411138666,14,CONDUCT INVESTIGATION,967,4625 NW 24TH AVE,25.81781572,-80.23597971,Miami Dade County,FL,2012,4,148
4/13/2012 16:12,PD120413141004,14,CONDUCT INVESTIGATION,1018,4301 NW 29TH AVE,25.81426113,-80.24213941,Miami Dade County,FL,2012,4,148
4/13/2012 21:37,PD120413141444,14,CONDUCT INVESTIGATION,966,5001 NW 31ST AVE,25.82025666,-80.24659222,Miami Dade County,FL,2012,4,148
4/14/2012 21:19,PD120414142684,14,CONDUCT INVESTIGATION,862,2401 NW 68TH ST,25.83669798,-80.23782115,Miami Dade County,FL,2012,4,148
4/18/2012 23:14,PD120418148312,14,CONDUCT INVESTIGATION,863,6300 NW 20TH AVE,25.83268933,-80.23011135,Miami Dade County,FL,2012,4,148
4/19/2012 21:00,PD120419149461,14,CONDUCT INVESTIGATION,862,2233 NW 65TH ST,25.83386111,-80.23378496,Miami Dade County,FL,2012,4,148
4/20/2012 22:44,PD120420150974,14,CONDUCT INVESTIGATION,863,2050 NW 64TH ST,25.83280105,-80.23053137,Miami Dade County,FL,2012,4,148
4/21/2012 20:31,PD120421152007,14,CONDUCT INVESTIGATION,863,1831 NW 67TH ST,25.8354966,-80.22770837,Miami Dade County,FL,2012,4,148
4/22/2012 14:06,PD120422152978,14,CONDUCT INVESTIGATION,918,2543 NW 55TH TER,25.82549035,-80.2392831,Miami Dade County,FL,2012,4,148
4/23/2012 21:16,PD120423154828,14,CONDUCT INVESTIGATION,1021,2118 NW 44TH ST,25.81529126,-80.23069436,Miami Dade County,FL,2012,4,148
4/24/2012 0:15, ,14,CONDUCT INVESTIGATION,861,6920 UNITY BLVD,25.83718039,-80.24194407,Miami Dade County,FL,2012,4,148
4/24/2012 4:18,PD120424155049,14,CONDUCT INVESTIGATION,917,2930 NW 59TH ST,25.82834504,-80.24366458,Miami Dade County,FL,2012,4,148
4/24/2012 23:47,PD120424156326,14,CONDUCT INVESTIGATION,863,1876 NW 64TH ST,25.83329596,-80.22858834,Miami Dade County,FL,2012,4,148
4/25/2012 2:42,PD120425156426,14,CONDUCT INVESTIGATION,918,5801 NW 27TH AVE,25.82786088,-80.2406816,Miami Dade County,FL,2012,4,148
4/25/2012 3:16,PD120425156444,14,CONDUCT INVESTIGATION,8967,5324 NW 22ND AVE,25.82362892,-80.23273367,Miami Dade County,FL,2012,4,148
4/26/2012 0:58,PD120426157755,14,CONDUCT INVESTIGATION,967,5200 NW 26TH AVE,25.82284109,-80.24004143,Miami Dade County,FL,2012,4,148
4/27/2012 22:21, ,14,CONDUCT INVESTIGATION,862,7090 NW 22ND AVE,25.83833492,-80.23413558,Miami Dade County,FL,2012,4,148
5/1/2012 0:46,PD120501163960,14,CONDUCT INVESTIGATION,967,5200 NW 26TH AVE,25.82284109,-80.24004143,Miami Dade County,FL,2012,5,149
5/2/2012 13:36,PD120502166065,14,CONDUCT INVESTIGATION,968,2030 NW 53RD ST,25.82326377,-80.23011365,Miami Dade County,FL,2012,5,149
5/3/2012 0:02,PD120503166860,14,CONDUCT INVESTIGATION,8967,2200 NW 54TH ST,25.82318633,-80.23422971,Miami Dade County,FL,2012,5,149
5/3/2012 0:16,PD120503166857,14,CONDUCT INVESTIGATION,966,5312 NW 30TH PL,25.82294767,-80.24608949,Miami Dade County,FL,2012,5,149
5/3/2012 20:49,PD120503168151,14,CONDUCT INVESTIGATION,918,2335 NW 57TH ST,25.82723346,-80.2355404,Miami Dade County,FL,2012,5,149
5/4/2012 4:07,PD120504168466,14,CONDUCT INVESTIGATION,919,2135 NW 54TH ST,25.82427903,-80.23131669,Miami Dade County,FL,2012,5,149
5/4/2012 20:41,PD120504169662,14,CONDUCT INVESTIGATION,862,2300 NW 67TH ST,25.83530662,-80.23535306,Miami Dade County,FL,2012,5,149
5/7/2012 0:02,PD120507172654,14,CONDUCT INVESTIGATION,966,3057 NW 52ND ST,25.82196219,-80.24563507,Miami Dade County,FL,2012,5,149
5/7/2012 0:34,PD120507172679,14,CONDUCT INVESTIGATION,1019,2471 NW 42ND ST,25.81369242,-80.23773517,Miami Dade County,FL,2012,5,149
5/8/2012 0:33,PD120508174088,14,CONDUCT INVESTIGATION,861,3005 NW 68TH ST,25.83578466,-80.24563224,Miami Dade County,FL,2012,5,149
5/8/2012 16:36,PD120508174981,14,CONDUCT INVESTIGATION,967,4964 NW 24TH CT,25.82000057,-80.23766082,Miami Dade County,FL,2012,5,149
5/9/2012 3:02,PD120509175554,14,CONDUCT INVESTIGATION,967,2326 NW 51ST ST,25.82127436,-80.23523093,Miami Dade County,FL,2012,5,149
5/11/2012 0:10,PD120511178473,14,CONDUCT INVESTIGATION,918,2460 NW 57TH ST,25.82673104,-80.23810102,Miami Dade County,FL,2012,5,149
5/12/2012 4:40,PD120512180167,32,ASSAULT,917,2770 NW 57TH ST,25.8263761,-80.24239795,Miami Dade County,FL,2012,5,149
5/12/2012 20:17,PD120512181074,14,CONDUCT INVESTIGATION,966,3093 NW 51ST ST,25.82070433,-80.24658264,Miami Dade County,FL,2012,5,149
5/12/2012 20:19,PD120512181106,14,CONDUCT INVESTIGATION,966,3096 NW 51ST ST,25.82050657,-80.24660432,Miami Dade County,FL,2012,5,149
5/13/2012 0:00,PD120513181344,14,CONDUCT INVESTIGATION,968,5100 NW 19TH AVE,25.82160903,-80.22868195,Miami Dade County,FL,2012,5,149
5/13/2012 1:08,PD120513181459,14,CONDUCT INVESTIGATION,917,2732 NW 60TH ST,25.82916152,-80.24181861,Miami Dade County,FL,2012,5,149
5/13/2012 3:09,PD120513181585,32,ASSAULT,917,3110 NW 58TH ST,25.82711344,-80.24732487,Miami Dade County,FL,2012,5,149
5/13/2012 9:36,PD120513181767,14,CONDUCT INVESTIGATION,1018,NW 29TH AVE & NW 43RD TER,25.81460082,-80.24247941,Miami Dade County,FL,2012,5,149
5/13/2012 13:56,PD120513182020,14,CONDUCT INVESTIGATION,863,2063 NW 68TH ST,25.83575661,-80.23072418,Miami Dade County,FL,2012,5,149
5/13/2012 16:47,PD120513182183,14,CONDUCT INVESTIGATION,918,2462 NW 55TH ST,25.82447908,-80.2380269,Miami Dade County,FL,2012,5,149
5/14/2012 22:43,PD120514183908,14,CONDUCT INVESTIGATION,967,5200 NW 26TH AVE,25.82284109,-80.24004143,Miami Dade County,FL,2012,5,149
5/14/2012 23:32,PD120514183953,14,CONDUCT INVESTIGATION,862,2327 NW 62ND ST,25.83143484,-80.23552779,Miami Dade County,FL,2012,5,149
5/15/2012 1:09,PD120515184001,14,CONDUCT INVESTIGATION,1018,2768 NW 44TH ST,25.81521095,-80.24119047,Miami Dade County,FL,2012,5,149
5/15/2012 1:52,PD120515184019,14,CONDUCT INVESTIGATION,967,5200 NW 26TH AVE,25.82284109,-80.24004143,Miami Dade County,FL,2012,5,149
5/15/2012 2:59,PD120515184046,14,CONDUCT INVESTIGATION,967,2622 NW 49TH ST,25.81914616,-80.24006172,Miami Dade County,FL,2012,5,149
5/15/2012 3:20,PD120515184054,14,CONDUCT INVESTIGATION,966,NW 27TH AVE & NW 53RD ST,25.82301857,-80.24073586,Miami Dade County,FL,2012,5,149
5/15/2012 3:55,PD120515184066,14,CONDUCT INVESTIGATION,967,5200 NW 26TH AVE,25.82284109,-80.24004143,Miami Dade County,FL,2012,5,149
5/15/2012 11:32, ,14,CONDUCT INVESTIGATION,862,NW 26TH AVE & NW 66TH ST,25.83447649,-80.24025043,Miami Dade County,FL,2012,5,149
5/15/2012 19:16,PD120515185043,14,CONDUCT INVESTIGATION,862,6601 NW 25TH AVE,25.83483854,-80.23875482,Miami Dade County,FL,2012,5,149
5/15/2012 20:25,PD120515185132,14,CONDUCT INVESTIGATION,863,2050 NW 64TH ST,25.83280105,-80.23053137,Miami Dade County,FL,2012,5,149
5/16/2012 1:02,PD120516185372,14,CONDUCT INVESTIGATION,967,4678 NW 24TH AVE,25.81736616,-80.23653277,Miami Dade County,FL,2012,5,149
5/16/2012 1:28,PD120516185387,14,CONDUCT INVESTIGATION,862,6710 NW 26TH AVE,25.83588996,-80.24061231,Miami Dade County,FL,2012,5,149
5/16/2012 3:39,PD120516185435,14,CONDUCT INVESTIGATION,967,5113 NW 23RD AVE,25.82144901,-80.23454625,Miami Dade County,FL,2012,5,149
5/16/2012 21:46,PD120516186604,14,CONDUCT INVESTIGATION,917,2768 NW 57TH ST,25.82638345,-80.24227422,Miami Dade County,FL,2012,5,149
5/16/2012 23:51,PD120517186730,14,CONDUCT INVESTIGATION,919,5834 NW 19TH AVE,25.82827528,-80.22885134,Miami Dade County,FL,2012,5,149
5/16/2012 23:51,PD120516186721,14,CONDUCT INVESTIGATION,918,2501 NW 58TH ST,25.82810665,-80.23980128,Miami Dade County,FL,2012,5,149
5/17/2012 0:00,PD120517186726,14,CONDUCT INVESTIGATION,919,1959 NW 60TH ST,25.82982609,-80.22963924,Miami Dade County,FL,2012,5,149
5/17/2012 1:17, ,14,CONDUCT INVESTIGATION,919,1858 NW 59TH ST,25.8288482,-80.22799197,Miami Dade County,FL,2012,5,149
5/18/2012 22:01,PD120518189464,14,CONDUCT INVESTIGATION,8967,2200 NW 54TH ST,25.82318633,-80.23422971,Miami Dade County,FL,2012,5,149
